President,mmddyy,DayInTerm,YRinTerm,DecYR,Democrat,Approve,Disapprove,No.Opinion,GDPpercap (chained 2005),% GDP Change,Disposable personal income percap (2005 chained),% RDI Change,Casualties,cas+5
Obama,2/13/2012,1120,3.0684932,2012.1175,1,45,47,8,,•,,•,,•
Obama,2/10/2012,1117,3.060274,2012.1093,1,50,48,2,,•,,•,,•
Obama,2/8/2012,1115,3.0547945,2012.1038,1,50,43,7,,•,,•,,•
Obama,2/8/2012,1115,3.0547945,2012.1038,1,47,43,10,,•,,•,,•
Obama,2/1/2012,1108,3.0356164,2012.0847,1,51,47,3,,•,,•,,•
Obama,1/22/2012,1098,3.0082192,2012.0574,1,48,46,6,,•,,•,,•
Obama,1/17/2012,1093,2.9945205,2012.0437,1,41,55,4,,•,,•,,•
Obama,1/12/2012,1088,2.9808219,2012.0301,1,47,45,8,,•,,•,,•
Obama,1/12/2012,1088,2.9808219,2012.0301,1,48,48,4,,•,,•,,•
Obama,1/12/2012,1088,2.9808219,2012.0301,1,45,47,8,,•,,•,,•
Obama,1/11/2012,1087,2.9780822,2012.0273,1,44,48,8,,•,,•,,•
Obama,1/11/2012,1087,2.9780822,2012.0273,1,47,51,3,,•,,•,,•
Obama,1/8/2012,1084,2.969863,2012.0191,1,44,48,7,,•,,•,,•
Obama,1/4/2012,1080,2.9589041,2012.0082,1,45,47,8,,•,,•,,•
Obama,12/28/2011,1073,2.939726,2011.989,1,45,50,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,12/17/2011,1062,2.909589,2011.9589,1,46,51,3,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,12/16/2011,1061,2.9068493,2011.9562,1,49,48,3,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,12/15/2011,1060,2.9041096,2011.9534,1,47,49,3,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,12/15/2011,1060,2.9041096,2011.9534,1,49,47,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,12/14/2011,1059,2.9013699,2011.9507,1,47,44,9,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,12/7/2011,1052,2.8821918,2011.9315,1,46,48,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,12/7/2011,1052,2.8821918,2011.9315,1,46,43,11,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,12/5/2011,1050,2.8767123,2011.926,1,44,51,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,12/5/2011,1050,2.8767123,2011.926,1,44,46,10,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,11/30/2011,1045,2.8630137,2011.9123,1,44,49,7,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,11/29/2011,1044,2.860274,2011.9096,1,42,52,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,11/28/2011,1043,2.8575342,2011.9068,1,43,51,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,11/18/2011,1033,2.830137,2011.8795,1,44,54,3,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,11/17/2011,1032,2.8273973,2011.8767,1,41,55,4,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,11/14/2011,1029,2.8191781,2011.8685,1,44,50,6,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,11/13/2011,1028,2.8164384,2011.8658,1,42,48,10,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,11/11/2011,1026,2.8109589,2011.8603,1,46,52,2,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,11/9/2011,1024,2.8054795,2011.8548,1,46,46,8,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,11/8/2011,1023,2.8027397,2011.8521,1,43,50,7,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,11/6/2011,1021,2.7972603,2011.8466,1,44,51,5,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,11/6/2011,1021,2.7972603,2011.8466,1,43,47,10,42503.32022,0.2652084,32539,0.1785659,354,359
Obama,11/3/2011,1018,2.7890411,2011.8384,1,47,47,6,42503.32022,0.2652084,32539,0.1785659,354,359
